number,date,VCRIX,CRIX,cluster
277,17/2/2,676.865945,1793.862495,0
276,17/2/1,700.297867,1757.550234,0
275,17/1/31,700.297867,1726.512763,0
274,17/1/30,729.3366713,1650.142729,0
273,17/1/29,758.0347167,1635.471486,0
272,17/1/28,790.3051226,1645.550408,0
271,17/1/27,823.9283226,1640.557501,0
270,17/1/26,849.4811684,1636.745618,0
269,17/1/25,885.1640107,1598.356644,0
268,17/1/24,889.751097,1585.632276,0
267,17/1/23,927.4841459,1644.033082,0
266,17/1/22,966.481184,1642.997961,0
265,17/1/21,993.5509479,1645.850845,0
264,17/1/20,1034.575174,1596.867672,0
263,17/1/19,1070.031414,1604.517307,0
262,17/1/18,1094.400823,1564.328999,0
261,17/1/17,1027.33487,1613.846449,0
260,17/1/16,1070.804228,1486.615191,0
259,17/1/15,1116.371099,1475.927448,0
258,17/1/14,1162.5433,1469.408086,0
257,17/1/13,1202.697073,1477.265662,0
256,17/1/12,1249.888419,1438.008742,0
255,17/1/11,955.4916051,1410.373237,0
254,17/1/10,995.9060032,1619.516888,0
253,17/1/9,1036.911339,1607.697761,0
252,17/1/8,1080.169933,1616.232233,0
251,17/1/7,1126.146437,1598.931487,0
250,17/1/6,1000.217693,1593.464083,0
249,17/1/5,661.5846239,1751.581785,0
248,17/1/4,435.176772,1987.19312,0
247,17/1/3,440.0780927,1815.817644,0
246,17/1/2,442.6417013,1777.585922,0
245,17/1/1,434.4261674,1737.415591,0
244,16/12/31,434.4261674,1688.617567,0
243,16/12/30,446.8742357,1680.169704,0
242,16/12/29,465.7817102,1695.375091,0
241,16/12/28,395.7330908,1694.928115,0
240,16/12/27,388.3241545,1612.196501,0
239,16/12/26,403.2381045,1568.79067,0
238,16/12/25,420.3524199,1554.474914,0
237,16/12/24,408.0797901,1551.076176,0
236,16/12/23,280.0241243,1588.457862,0
235,16/12/22,235.2495835,1498.952869,0
234,16/12/21,183.529463,1450.613045,0
233,16/12/20,186.8876044,1407.188626,0
232,16/12/19,193.915772,1393.064098,0
231,16/12/18,201.9006333,1391.78965,0
230,16/12/17,209.1258705,1389.66582,0
229,16/12/16,216.2424257,1379.734194,0
228,16/12/15,222.6491761,1368.747782,0
227,16/12/14,228.463,1371.250179,0
226,16/12/13,236.8336608,1376.216363,0
225,16/12/12,239.2489657,1377.364975,0
224,16/12/11,245.607943,1359.156601,0
223,16/12/10,255.1101462,1364.589829,0
222,16/12/9,265.9684939,1364.854831,0
221,16/12/8,276.1593664,1360.359189,0
220,16/12/7,283.4169774,1350.218178,0
219,16/12/6,287.3732266,1335.194882,0
218,16/12/5,253.0217725,1317.102757,0
217,16/12/4,261.572601,1346.416818,0
216,16/12/3,268.2128355,1348.77674,0
215,16/12/2,271.5231008,1355.596019,0
214,16/12/1,279.3889087,1335.312753,0
213,16/11/30,279.3889087,1320.795879,0
212,16/11/29,285.469035,1298.899128,0
211,16/11/28,297.6077999,1305.310547,0
210,16/11/27,303.5065247,1301.211145,0
209,16/11/26,310.9252195,1310.045278,0
208,16/11/25,324.1549853,1318.36293,0
207,16/11/24,328.2285018,1314.688779,0
206,16/11/23,332.7894546,1326.891422,0
205,16/11/22,339.3597092,1339.604622,0
204,16/11/21,351.1836018,1318.991448,0
203,16/11/20,314.6119793,1305.256941,0
202,16/11/19,327.9890415,1341.861116,0
201,16/11/18,340.9697238,1337.00649,0
200,16/11/17,352.5504506,1325.900894,0
199,16/11/16,325.428755,1331.268352,0
198,16/11/15,337.8559627,1289.726401,0
197,16/11/14,352.2261106,1279.140946,0
196,16/11/13,367.1671587,1274.646216,0
195,16/11/12,357.9688546,1272.274569,0
194,16/11/11,373.1678042,1296.024779,0
193,16/11/10,379.9400508,1292.361537,0
192,16/11/9,392.1837787,1305.788432,0
191,16/11/8,408.8512415,1289.560016,0
190,16/11/7,421.0084424,1284.188215,0
189,16/11/6,437.7034654,1294.23753,0
188,16/11/5,456.3033429,1283.136212,0
187,16/11/4,459.0630039,1277.208992,0
186,16/11/3,293.2565791,1247.23296,0
185,16/11/2,305.2250664,1322.926391,0
184,16/11/1,251.5965694,1314.64956,0
183,16/10/31,251.5965694,1268.63125,0
182,16/10/30,248.1730995,1270.016005,0
181,16/10/29,250.291058,1287.900149,0
180,16/10/28,260.4876389,1262.240381,0
179,16/10/27,268.2215894,1255.123936,0
178,16/10/26,232.2354471,1241.735674,0
177,16/10/25,239.6558989,1207.91755,0
176,16/10/24,247.2626861,1208.36687,0
175,16/10/23,253.819254,1210.78025,0
174,16/10/22,210.6119765,1214.356197,0
173,16/10/21,219.4895073,1180.371569,0
172,16/10/20,228.7662247,1177.666844,0
171,16/10/19,213.6845491,1174.961866,0
170,16/10/18,222.7318088,1189.742532,0
169,16/10/17,225.8558477,1187.25737,0
168,16/10/16,235.3000955,1192.748683,0
167,16/10/15,240.0760596,1187.312597,0
166,16/10/14,249.5603914,1191.98446,0
165,16/10/13,259.0098831,1184.416912,0
164,16/10/12,260.8122359,1185.108836,0
163,16/10/11,173.7119848,1194.021046,0
162,16/10/10,176.9767726,1152.025177,0
161,16/10/9,180.1585181,1154.657599,0
160,16/10/8,183.1114298,1157.842852,0
159,16/10/7,190.8252016,1160.98988,0
158,16/10/6,195.590622,1155.859595,0
157,16/10/5,202.3338822,1158.426579,0
156,16/10/4,200.1394594,1158.600206,0
155,16/10/3,208.6595507,1166.286967,0
154,16/10/2,212.1161227,1162.33881,0
153,16/10/1,221.1313856,1167.07279,0
152,16/9/30,221.1313856,1163.354408,0
151,16/9/29,228.6528445,1156.743445,0
150,16/9/28,238.2829615,1158.443273,0
149,16/9/27,246.9538699,1154.576179,0
148,16/9/26,256.9611926,1155.012769,0
147,16/9/25,266.7711412,1148.102603,0
146,16/9/24,276.6960659,1148.39329,0
145,16/9/23,283.3074852,1150.821833,0
144,16/9/22,293.1689602,1137.223078,0
143,16/9/21,257.8626434,1141.187514,0
142,16/9/20,268.5465681,1167.288831,0
141,16/9/19,279.6461347,1159.292297,0
140,16/9/18,291.2778836,1151.978183,0
139,16/9/17,302.7551645,1150.567716,0
138,16/9/16,315.6420345,1151.154428,0
137,16/9/15,328.2019493,1147.982998,0
136,16/9/14,342.1741281,1147.266234,0
135,16/9/13,356.3925263,1143.32255,0
134,16/9/12,371.5648799,1142.065981,0
133,16/9/11,319.3436339,1138.467583,0
132,16/9/10,332.1711704,1174.292083,0
131,16/9/9,343.7943715,1166.933452,0
130,16/9/8,353.4803955,1171.064468,0
129,16/9/7,368.424319,1155.586964,0
128,16/9/6,384.0927853,1150.299078,0
127,16/9/5,399.3644423,1147.505972,0
126,16/9/4,404.6136295,1148.865607,0
125,16/9/3,388.3686465,1126.585796,0
124,16/9/2,404.574563,1094.368938,0
123,16/9/1,421.7979018,1087.983854,0
122,16/8/31,421.7979018,1084.426512,0
121,16/8/30,439.6591771,1089.600795,0
120,16/8/29,458.1798036,1084.088705,0
119,16/8/28,477.5671147,1081.025452,0
118,16/8/27,483.1523383,1070.626383,0
117,16/8/26,503.6358993,1086.989291,0
116,16/8/25,523.6313883,1084.702393,0
115,16/8/24,543.0722958,1087.316217,0
114,16/8/23,562.380764,1093.796782,0
113,16/8/22,586.1329745,1100.62125,0
112,16/8/21,609.9716779,1091.980299,0
111,16/8/20,631.1828781,1096.879161,0
110,16/8/19,658.0070795,1079.514918,0
109,16/8/18,685.9264816,1077.363329,0
108,16/8/17,713.9609291,1075.403652,0
107,16/8/16,744.0435064,1079.674668,0
106,16/8/15,773.8962268,1071.91455,0
105,16/8/14,790.8949246,1077.988144,0
104,16/8/13,822.8601205,1101.952032,0
103,16/8/12,857.5114699,1107.772747,0
102,16/8/11,892.0983198,1108.324875,0
101,16/8/10,929.7389591,1115.609387,0
100,16/8/9,968.8077228,1107.032424,0
99,16/8/8,1009.665357,1108.294307,0
98,16/8/7,1052.360774,1109.679812,0
97,16/8/6,1093.781282,1101.544993,0
96,16/8/5,1140.256991,1082.595007,0
95,16/8/4,1183.287606,1081.29724,0
94,16/8/3,1089.457664,1057.894105,0
93,16/8/2,520.0485407,960.6878815,0
92,16/8/1,491.9807286,1127.186082,0
91,16/7/31,491.9807286,1165.465845,0
90,16/7/30,508.7685368,1221.685342,0
89,16/7/29,530.4068995,1225.324032,0
88,16/7/28,552.5057709,1226.432481,0
87,16/7/27,568.7403564,1227.020803,0
86,16/7/26,561.1081614,1210.316574,0
85,16/7/25,584.0835462,1239.271069,0
84,16/7/24,606.32279,1243.112401,0
83,16/7/23,631.6641961,1245.837312,0
82,16/7/22,654.5230017,1253.866396,0
81,16/7/21,680.835856,1260.791779,0
80,16/7/20,709.4646117,1270.336452,0
79,16/7/19,739.5821207,1269.526398,0
78,16/7/18,766.4348175,1250.042974,0
77,16/7/17,794.2567611,1265.114372,0
76,16/7/16,827.9456793,1246.378147,0
75,16/7/15,861.9531351,1247.61395,0
74,16/7/14,897.7944958,1235.705821,0
73,16/7/13,923.5320108,1229.735417,0
72,16/7/12,938.9037012,1239.586917,0
71,16/7/11,977.1954724,1188.852051,0
70,16/7/10,1017.251603,1190.892686,0
69,16/7/9,1047.794972,1195.783608,0
68,16/7/8,1033.16195,1216.654059,0
67,16/7/7,981.4575687,1159.06773,0
66,16/7/6,1021.76387,1224.397687,0
65,16/7/5,1044.803047,1211.112716,0
64,16/7/4,1084.29451,1239.370821,0
63,16/7/3,1089.746173,1217.462635,0
62,16/7/2,1132.205218,1262.380801,0
61,16/7/1,1180.312268,1242.235657,0
60,16/6/30,1180.312268,1239.826555,0
59,16/6/29,1227.556253,1180.85834,0
58,16/6/28,1272.757191,1193.747514,0
57,16/6/27,1314.461436,1206.820676,0
56,16/6/26,1306.511818,1170.375668,0
55,16/6/25,1361.526066,1231.776653,0
54,16/6/24,1365.854923,1221.102678,0
53,16/6/23,1375.54211,1155.34145,0
52,16/6/22,1178.845777,1096.956951,0
51,16/6/21,1070.338131,1218.243126,0
50,16/6/20,1070.165622,1322.653255,0
49,16/6/19,1108.617405,1373.788192,0
48,16/6/18,1132.443797,1350.866288,0
47,16/6/17,1106.002089,1371.910381,0
46,16/6/16,908.1491205,1439.113876,0
45,16/6/15,946.261961,1306.199762,0
44,16/6/14,981.3692668,1296.677201,0
43,16/6/13,952.291063,1310.072692,0
42,16/6/12,553.5226138,1243.383927,0
41,16/6/11,548.6336598,1112.068572,0
40,16/6/10,570.9569443,1082.281252,0
39,16/6/9,589.6593879,1083.281218,0
38,16/6/8,614.070722,1091.160507,0
37,16/6/7,635.9122026,1083.245493,0
36,16/6/6,655.643721,1090.48994,0
35,16/6/5,683.55581,1072.651079,0
34,16/6/4,712.6561631,1069.106984,0
33,16/6/3,656.8976263,1065.334233,0
32,16/6/2,683.8996572,1014.386464,0
31,16/6/1,709.9034636,1015.833418,0
30,16/5/31,709.9034636,1003.406596,0
29,16/5/30,730.8780064,996.8473052,0
28,16/5/29,761.3353352,977.6138348,0
27,16/5/28,420.14384,978.1436883,0
26,16/5/27,395.6445924,888.6159885,0
25,16/5/26,411.0951817,865.5795641,0
24,16/5/25,428.5787304,858.780831,0
23,16/5/24,446.5323919,855.8614183,0
22,16/5/23,465.4891104,856.5260357,0
21,16/5/22,479.4153186,857.4700209,0
20,16/5/21,499.7650401,862.1553945,0
19,16/5/20,519.304548,857.2533685,0
18,16/5/19,522.9484632,862.2698638,0
17,16/5/18,542.7072252,871.550434,0
16,16/5/17,565.7870122,859.9882109,0
15,16/5/16,589.8330693,855.9624093,0
14,16/5/15,614.9350334,850.9476333,0
13,16/5/14,638.6818543,848.6353046,0
12,16/5/13,665.4267935,852.3605501,0
11,16/5/12,693.4539785,845.8216486,0
10,16/5/11,721.6344892,840.7767616,0
9,16/5/10,728.0586473,832.3675308,0
8,16/5/9,759.0516877,851.7893358,0
7,16/5/8,791.2131748,849.0739955,0
6,16/5/7,823.7148897,848.03245,0
5,16/5/6,850.1201045,850.0404871,0
4,16/5/5,885.9801975,833.460641,0
3,16/5/4,921.2512522,827.8229153,0
2,16/5/3,960.4705088,832.3392956,0
1,16/5/2,1000,830.2607378,0
